,user,es,is,ps
42,0x001f48fe545dc26b49d7dd7a3daa49418c718daa,1,0E-9,184.0
43,0x00201b2f62622fa4d6d6a51568884f622a6950cf,3,1.310000000,45.333333333333336
44,0x002034409aa3b3be021da568ae55db65d872456a,1,0.050000000,125.0
45,0x002142f86f77cfb3d82797df8e5ab3092d48c4ba,1,0.108000000,96.0
46,0x0022f267eb8a8463c241e3bd23184e0c7dc783f3,1,0.200000000,88.0
47,0x002793348763d5433689e118112e353fda778b7a,1,0.250000000,57.0
48,0x002e3ab4bdf0cd4295c0f86e546fc6aac6a5c3c3,1,0.380000000,67.0
49,0x002e843f85521c4e48e667185663902a7a3a9c10,2,0.750000000,54.333333333333336
50,0x002f5edc4d6e2b33027d2279b4dd86686f7864fd,1,1.000000000,44.0
51,0x0030b9f1925408d79be83c7cecfffdbacb638e9b,2,0.290000000,73.0
52,0x003202a0f05fee4d98a4a3362cd373e575b4ada9,2,2.300000000,34.0
53,0x003202ad13b12ac719376c5283e456e52241d75c,1,0.100000000,33.0
54,0x00369aa0a8f78e6a8aaab866625913f47770cc7d,1,0.250000000,52.0
55,0x003960e60110fbd8e2b790f1db1948a798258016,2,0.940000000,55.5
56,0x003ae57782ab0f390908f8d7a3a9680bcfc62ec0,2,0.850000000,44.666666666666664
57,0x003db65b545c906f37ac55ec0f4d800708d6a5fb,1,1.000000000,37.0
58,0x003f2fafd0ac851233c871ee5a9f1d75d7a9e96c,10,4.050000000,64.8
59,0x003f35595dce3187b4fff2b5a2c4303f7158208a,4,2.450000000,54.0
60,0x0040e6b66a32ba7109f6d14e4901254a69f3ee8d,1,0E-9,92.0
61,0x00423062c052f3c895d49bb76a36c8bb14ebe76e,1,0.200000000,76.0
62,0x0047b8788900f8cb5385c86feebbd81f36188f4e,1,0.025000000,133.0
63,0x0047e71c69e49e2d39e4fcd3ab7189d84d853e12,1,0.150000000,87.0
64,0x00493aa44bcfd6f0c2ecc7f8b154e4fb352d1c81,3,2.259000000,61.0
65,0x0049a94810c1a9df3b248a41c72b6de01c6536f6,1,0.100000000,105.0
66,0x004bbe8190d11df362037a05cd170596366b8467,1,0.300000000,47.0
67,0x004cad75155af30b36b33358047604b8a9227f6c,1,0.600000000,101.0
68,0x0050b1eebf11e5630eeff911ba53fc9d8ee1cd0c,1,0.100000000,79.0
69,0x0051437667689b36f9cfec31e4f007f1497c0f98,1,0.070000000,104.0
70,0x0052a30978e3a3f94c2566212660de7ea0c8fdb9,4,6.000000000,138.25
71,0x0054b48eac2964cbb202cf52e4b2ab8366ebfb1b,1,0.400000000,62.0
72,0x0056900c02a60138240b958b5b9695236aa788bb,1,0.108000000,96.0
73,0x005733ec2a955b993923394b3f05a8bb4036a84c,1,0.200000000,79.0
74,0x005806ed97b849f18bde76a35cb84c4c2ecf43e9,1,0.400000000,62.0
75,0x005a650daafb19d760b41e6147949b0f81fea87f,1,0.100000000,33.0
76,0x005b2d881c5c5954f5641cf01e9a021419caa720,4,2.650000000,36.8
77,0x005cbffbd9e7d06d5387e5e87faacde2a182c795,1,0.200000000,40.0
78,0x005e15a07afa8d597d532537fd78f537d7eb54f6,2,1.500000000,25.5
79,0x005e1e9ba10fbef726a06896d113fd9aad52afe8,1,0.050000000,108.0
80,0x005e5cac6eb7637edf689403e01b86bda451ef61,1,0.100000000,33.0
81,0x00668bd79ede077b99bbe1c4db59418bc333d4cf,2,2.790000000,41.785714285714285
82,0x0068e91105b0d2c52de69c6efb6329b66b1cdac5,2,0.700000000,73.66666666666667
83,0x006c0a5aff8a9489235ad7b876e17dda0f216794,1,0.025000000,133.0
84,0x006d43183a67dd662796147112fb93d84e109141,1,0.050000000,125.0
85,0x006d996aeecf2e606fb62e81e0a77f01f85d6792,1,0.200000000,62.0
86,0x006f74448baead5563915255c8fbc12fd7f6a5df,1,0.500000000,34.0
87,0x007154dc932ee4d3c3c9923f81b506a5ba7dfefb,1,0E-9,184.0
88,0x00721f6c08372d9c40fed3c8d8fbb92b471aff0d,2,0.450000000,98.5
89,0x0075078a6f6621acb3f43d2915fc8e40e5a5c657,3,6.000000000,65.66666666666667
90,0x00796e910bd0228ddf4cd79e3f353871a61c351c,1,0.250000000,49.0
91,0x00798709b7e522a82199ea2afd47d7d3f299408a,1,0.180000000,90.0
92,0x007ad0cd725126de6e6c61d06380a4c75e889016,2,0.400000000,38.25
93,0x007cb716c24d4becf3143a8f6ba7418ccc05a544,4,1.317200000,105.36363636363636
94,0x007da51601ffa3ade61876c0858f778f4d727595,5,14.800000000,36.57142857142857
95,0x007e01f7e8366a06d549516544aa0d9473cbb695,3,0.550000000,138.33333333333334
96,0x007e363726dfe9491bb48a2c0b91aa1f1d9b43a9,1,0.250000000,54.0
97,0x007f9d679769aa139b969eb524bb2d902e2c0fee,4,2.850000000,38.0
98,0x007fe3d7c3b1768d9142f48da01a4f80b9b1aa79,1,0E-9,92.0
99,0x00812076e9460d60e7f9af956cbda17ac64eeaa2,1,0.194000000,120.0
100,0x00845d3a8773c9323a1046d9fa885917f39987ba,2,0.400000000,47.0
101,0x008b2e11b65caac5b28f0afa91af5ad83ff6be64,1,0.250000000,78.0
102,0x008f0ca4a53281e782b94903ebcb3dce6f166499,20,10.718000000,51.04
103,0x0090720fed7fed66ed658118b7b3bb0189d3a495,1,0.097000000,120.0
104,0x0092f6fe26d0c54f9e60326e8d93cf6770cdf494,1,0.250000000,59.0
105,0x009361a8bd539c1dba20b6a5b2f6f2d691c854a5,1,0.300000000,115.0
106,0x0094cfba72efcafe4d45c257a713414b9502a348,1,0.250000000,66.0
107,0x0098377e5028f52b5fc038dd1775f859e8cfb564,1,0.250000000,59.0
108,0x00990bd355fb2e87baa684bd481330fa7271cc2c,3,1.200000000,89.28571428571429
109,0x009988ff77eeaa00051238ee32c48f10a174933e,7,1.794000000,71.6923076923077
110,0x0099e28603168a9de6ea2080d690e87f20618087,1,0E-9,184.0
111,0x009b34d1a81174762653102c15988f26ce83ab10,1,0E-9,184.0
112,0x009cd67a8249b9d9160bea72079a84afd46886ae,1,0.750000000,35.0
113,0x009d2aef6eded4c1543e9a41cc6f864b5ecfb564,7,4.230000000,82.75
114,0x009e16e171972a709c3b4c76f844828a82880be1,1,5.000000000,3.0
